"name","pubCode","description","startDate","endDate"
"bbc.subplotID","31_400","subplotID 31_400",2012-01-01,NA
"bbc.subplotID","21_400","subplotID 21_400",2012-01-01,NA
"bbc.subplotID","23_400","subplotID 23_400",2012-01-01,NA
"bbc.subplotID","39_400","subplotID 39_400",2012-01-01,NA
"bbc.subplotID","41_400","subplotID 41_400",2012-01-01,NA
"bgc.analyte","d15N","Ratio of 15N:14N in a sample relative to atmospheric N2",2012-01-01,NA
"bgc.analyte","d13C","Ratio of 13C:12C in a sample relative to VPDB",2012-01-01,NA
"bgc.analyte","carbonPercent","Percent carbon in a sample on a dry weight basis",2012-01-01,NA
"bgc.analyte","nitrogenPercent","Percent nitrogen in a sample on a dry weight basis",2012-01-01,NA
"bgc.analyte","CNratio","Ratio of carbon to nitrogen concentration in a sample on a dry weight basis",2012-01-01,NA
"bgc.analyteUnits","permill","Indicator that the units are permill",2012-01-01,NA
"bgc.analyteUnits","percent","Indicator that the units are percent",2012-01-01,NA
"bgc.cnIsotopeQF","OK","both d15N and d13C values are ok, no issues",2012-01-01,NA
"bgc.cnIsotopeQF","sample d15N out of qaqc tolerance","d15N value is out of laboratory qaqc tolerance, use with caution",2012-01-01,NA
"bgc.cnIsotopeQF","sample d13C out of qaqc tolerance","d13C value is out of laboratory qaqc tolerance, use with caution",2012-01-01,NA
"bgc.cnIsotopeQF","sample d15N and d13C out of qaqc tolerance","both d15N and d13C values are out of laboratory qaqc tolerance, use with caution",2012-01-01,NA
"bgc.cnPercentQF","OK","both percent nitrogen and percent carbon data are ok, no issues",2012-01-01,NA
"bgc.cnPercentQF","sample percent N out of qaqc tolerance","percent nitrogen is out of laboratory qaqc tolerance, use with caution",2012-01-01,NA
"bgc.cnPercentQF","sample percent C out of qaqc tolerance","percent carbon is out of laboratory qaqc tolerance, use with caution",2012-01-01,NA
"bgc.cnPercentQF","sample percent N and C out of qaqc tolerance","both percent nitrogen and percent carbon are out of laboratory qaqc tolerance, use with caution",2012-01-01,NA
"bgc.isotopeAccuracyQF","OK","observed values of run QA material fall within acceptance criteria for stable isotopes",2012-01-01,NA
"bgc.isotopeAccuracyQF","d15N run QA criteria not met","observed values of run QA material do not meet acceptance criteria for d15N",2012-01-01,NA
"bgc.isotopeAccuracyQF","d13C run QA criteria not met","observed values of run QA material do not meet acceptance criteria for d13C",2012-01-01,NA
"bgc.isotopeAccuracyQF","d15N and d13C run QA criteria not met","observed values of run QA material do not meet acceptance criteria for d15N or d13C",2012-01-01,NA
"bgc.percentAccuracyQF","OK","observed values of run QA material fall within acceptance criteria for percent concentration",2012-01-01,NA
"bgc.percentAccuracyQF","percent N run QA criteria not met","observed values of run QA material do not meet acceptance criteria for percent nitrogen",2012-01-01,NA
"bgc.percentAccuracyQF","percent C run QA criteria not met","observed values of run QA material do not meet acceptance criteria for percent carbon",2012-01-01,NA
"bgc.percentAccuracyQF","percent C and N run QA criteria not met","observed values of run QA material do not meet acceptance criteria for percent nitrogen or carbon",2012-01-01,NA
"bgc.sampleType","vegetation","Indicator that vegetation is being measured",2012-01-01,NA
"bgc.sampleType","soil","Indicator that soil is being measured",2012-01-01,NA
"biophysicalCriteria","OK - no known exceptions","Sampling occurred on schedule, no known issues",2012-01-01,NA
"biophysicalCriteria","OK - schedule change but conditions met","Sampling occurred not within defined sampling window but reflects the target biophysical conditions",2012-01-01,NA
"biophysicalCriteria","conditions not met","Sampling does not reflect the target biophysical conditions",2012-01-01,NA
"biophysicalCriteria","other","Other potential sample timing inconsistencies described in the remarks",2012-01-01,NA
"biophysicalCriteria","conditions not met: most plants senesced","Sampling does not reflect the target biophysical conditions, most plants senesced",2012-01-01,NA
"biophysicalCriteria","conditions not met: most plants not yet flowering","Sampling does not reflect the target biophysical conditions, most plants not yet in flower",2012-01-01,NA
"biophysicalCriteria","unknown - logistical","Sampling not possible due to logistical considerations",2012-01-01,NA
"biophysicalCriteria","drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01,NA
"biophysicalCriteria","conditions not met: drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01,NA
"biophysicalCriteria","conditions not met - no photo taken","Conditions at photo point do not support image collection (e.g., localized flooding)",2012-01-01,NA
"biophysicalCriteria","date outside peak green","Sample collected outside of prescribed peak green window",2012-01-01,NA
"biophysicalCriteria","conditions not met: sampled after fish","Sampling does not reflect the target biophysical conditions, benthic sampling occurred after benthos was disturbed during seasonal fish sampling",2012-01-01,NA
"biophysicalCriteria","conditions not met: outside bout window","Sampling or data collection does not reflect the target biophysical conditions that indicate seasonality, including temperature, flow regime, and riparian greenness",2012-01-01,NA
"biophysicalCriteria","Qualifying material < 50% of plot area, sampling criteria not met","Herbaceous vegetation at the plot is not of sufficient cover to merit sampling",2012-01-01,NA
"biophysicalCriteria","plot disturbance","Sampling occurred and there is evidence the plot was disturbed after the prior sampling event, specific disturbance described in remarks",2012-01-01,NA
"biophysicalCriteria","OK - within bout window","Sampling or data collection reflects the target biophysical conditions that indicate seasonality, including temperature, flow regime, and riparian greenness",2012-01-01,NA
"biophysicalCriteria","Recent burn – herbaceous cover impacted","Sampling occurred following a recent fire that likely impacts masses",2012-01-01,NA
"biophysicalCriteria","Exclosures deployed after livestock present","Exclosures designed to facilitate understanding of biomass production in grazed systems were not deployed prior to presence of domestic herbivores",2012-01-01,NA
"cfc.bgcSampleCondition","OK","Sample condition ok",2012-01-01,NA
"cfc.bgcSampleCondition","oven temperature out of range","Oven temperature used for sample processing out of range specified in protocol",2012-01-01,NA
"cfc.bgcSampleCondition","samples held longer than 5 days before processing","Samples held longer than 5 days before processing began, deviation from protocol",2012-01-01,NA
"cfc.bgcSampleCondition","samples experienced freeze-thaw","Samples were accidentally frozen for a period, then thawed, prior to processing",2012-01-01,NA
"cfc.bgcSampleCondition","samples discarded, not analyzed","Samples were discarded and not processed or analyzed for chemistry",2012-01-01,NA
"cfc.bgcSampleCondition","other","Other (specified in remarks)",2012-01-01,NA
"cfc.canopyStatus","true canopy","Individual is part of the canopy, crown height is similar to neighboring sunlit plants",2019-12-01,NA
"cfc.canopyStatus","sunlit gap","Individual is not part of the canopy, sample is only sunlit because it is found in a gap and neighboring sunlit plants are significantly taller",2019-12-01,NA
"cfc.chlAbsorbanceQF","OK","no issues to report",2012-01-01,NA
"cfc.chlAbsorbanceQF","criteria not met","observed values for spectrometer absorbance standard analyzed along with samples did not meet acceptance criteria",2012-01-01,NA
"cfc.chlAbsorbanceQF","not available","spectrometer absorbance standard not analyzed",2012-01-01,NA
"cfc.chlAnalyte","chlorophyll A","chlorophyll A",2012-01-01,NA
"cfc.chlAnalyte","chlorophyll B","chlorophyll B",2012-01-01,NA
"cfc.chlAnalyte","carotenoids","carotenoids",2012-01-01,NA
"cfc.chlAnalyte","turbidity","turbidity",2012-01-01,NA
"cfc.chlAnalyteUnits","ug chlorophyll per mL","ug chlorophyll per mL",2012-01-01,NA
"cfc.chlAnalyteUnits","mg chlorophyll per gram","mg chlorophyll per gram",2012-01-01,NA
"cfc.chlFieldSampleCondition","OK","Sample condition ok",2012-01-01,NA
"cfc.chlFieldSampleCondition","flash freeze method deviation","Method for flash freezing tissue deviated from protocol",2012-01-01,NA
"cfc.chlFieldSampleCondition","cold chain broken","Cold chain broken",2012-01-01,NA
"cfc.chlFieldSampleCondition","subsample not created","Subsample not created, no chlorophyll data expected",2012-01-01,NA
"cfc.chlFieldSampleCondition","other","Other (specified in remarks)",2012-01-01,NA
"cfc.chlHandlingQF","OK","no issues to report",2012-01-01,NA
"cfc.chlHandlingQF","standard holding time exceeded","sample was not processed within the planned holding time of 14 days from collection",2012-01-01,NA
"cfc.chlHandlingQF","standard extraction time exceeded","sample was extracted for longer than the planned maximum duration of 48 hours",2012-01-01,NA
"cfc.chlHandlingQF","standard extraction and holding times exceeded","sample was not processed within the planned holding time of 14 days from collection and was extracted for longer than the planned maximum duration of 48 hours",2012-01-01,NA
"cfc.chlHandlingQF","sample held at -20 C instead of ultracold","sample was stored in a standard -20 C freezer instead of at ultracold temps (-60 to -80 C) upon receipt at the external lab",2012-01-01,NA
"cfc.chlMeasurementQF","OK","sample measurement ok, no issues to report",2012-01-01,NA
"cfc.chlMeasurementQF","absorbance value below optimal range","absorbance value below 0.2, the reported optimal range for this method",2012-01-01,NA
"cfc.chlMeasurementQF","absorbance value above optimal range","absorbance value above 0.9, the reported optimal range for this method",2012-01-01,NA
"cfc.chlMeasurementQF","other","other measurement issue, explained in remarks",2012-01-01,NA
