"uid","namedLocation","domainID","siteID","plotType","sampleID","sampleCode","collectDate","lmaSampleID","lmaSampleCode","lmaSampleCondition","tissueDescriptor","scanDate","scannedBy","freshMass","ovenStartDate","ovenEndDate","dryMass","weighedBy","scannedLeafNumber","leafArea","percentGreen","leafMassPerArea","dryMassFraction","measuredBy","remarks","dataQF","publicationDate","release"
"d9a765f7-102e-4c01-8667-44473f650245","BART_073.basePlot.cfc","D01","BART","tower","TvxMHd37kohoXlzs3pTixPYNVXnKYnbE9ZOkei19Lqg=","A00000153779","2022-08-01T17:58Z","TvxMHd37kohoXlzs3pTixPYNVXnKYnbESupagtoVGH4=",NA,"OK","leaf","2022-08-03T18:55Z","0000-0002-3442-2725",0.325,"2022-08-03T18:01Z","2022-08-15T18:24Z",0.138,"0000-0003-4885-7081",61,530,100,260.6,0.426,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"8a8626bb-23d7-495e-89f6-3e52781c9d92","BART_073.basePlot.cfc","D01","BART","tower","TvxMHd37koiA1rU/BY6C6tOeCUC89v9gRcjGRsjfJAA=","A00000153865","2022-08-01T18:11Z","TvxMHd37koiA1rU/BY6C6tOeCUC89v9gXZjy4COIiUU=",NA,"OK","leaf","2022-08-03T15:10Z","0000-0002-3442-2725",3.342,"2022-08-03T15:12Z","2022-08-15T19:10Z",1.747,"0000-0003-4885-7081",8,16328,98,107,0.523,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"f6b9e34e-e762-4992-9cc6-7583b6645b70","BART_073.basePlot.cfc","D01","BART","tower","TvxMHd37kojEfZj+QPE+LrSWb1jIkOqz2Ctl1NfhUZQ=","A00000153861","2022-08-01T18:54Z","TvxMHd37kojEfZj+QPE+LrSWb1jIkOqzQK9P0ndHB8hEXeQCnulNtw==",NA,"OK","leaf","2022-08-03T18:15Z","0000-0002-3442-2725",4.052,"2022-08-03T18:20Z","2022-08-15T19:10Z",2.014,"0000-0003-4885-7081",11,17276,99,116.6,0.497,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"6754990e-0a0e-4dd2-b154-7462fb0f6fe4","BART_073.basePlot.cfc","D01","BART","tower","TvxMHd37koiT/Vp6cNz8F50ZrSpWWA/RXbe+F9+dr/k=","A00000153855","2022-08-01T19:09Z","TvxMHd37koiT/Vp6cNz8F50ZrSpWWA/RI+Neojera74=",NA,"OK","leaf","2022-08-03T17:15Z","0000-0002-3442-2725",2.002,"2022-08-03T17:18Z","2022-08-15T19:47Z",1.097,"0000-0003-4885-7081",13,13336,40,82.2,0.548,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"9d1c73b4-dadd-4aa8-8fbd-096c41b64bad","BART_040.basePlot.cfc","D01","BART","tower","TvxMHd37kojNrJLvmD6OM5VkX28fH0HT+nHsAFjBRtg=","A00000153777","2022-08-01T20:23Z","TvxMHd37kojNrJLvmD6OM5VkX28fH0HTwW2rnfFF5zD3mjzyyer7SQ==",NA,"OK","leaf","2022-08-03T15:40Z","0000-0002-3442-2725",3.687,"2022-08-03T15:46Z","2022-08-15T19:47Z",1.859,"0000-0003-4885-7081",1,15251,100,121.9,0.504,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"c3ebb6c6-4218-4bc8-afe1-2201745c4644","BART_040.basePlot.cfc","D01","BART","tower","TvxMHd37kohWcR6E0CTKpFQ/Ex9vYUCcBYR2GtP6C1w=","A00000153854","2022-08-01T20:33Z","TvxMHd37kohWcR6E0CTKpFQ/Ex9vYUCcmbimeztFoGU=",NA,"OK","leaf","2022-08-03T14:40Z","0000-0002-3442-2725",3.138,"2022-08-03T14:49Z","2022-08-15T19:47Z",1.719,"0000-0003-4885-7081",12,17291,99,99.4,0.548,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"623c064e-d68d-4eb8-bf04-dfd9fac07840","BART_040.basePlot.cfc","D01","BART","tower","TvxMHd37kohmecpDYlPlnYp1yljwy2cESON+2vrAERQ=","A00000153859","2022-08-01T21:01Z","TvxMHd37kohmecpDYlPlnYp1yljwy2cEH6rc9Q3bA4w=",NA,"OK","leaf","2022-08-03T15:30Z","0000-0002-3442-2725",3.919,"2022-08-03T15:33Z","2022-08-15T18:24Z",2.069,"0000-0003-4885-7081",2,16440,99,125.9,0.528,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"212c9579-7f11-424f-988b-a62a1d0858eb","BART_005.basePlot.cfc","D01","BART","distributed","TvxMHd37kohJQv/pV8Khzs79qz+TcX9kP8QmFncEL54=","A00000153857","2022-08-02T11:42Z","TvxMHd37kohJQv/pV8Khzs79qz+TcX9kNYOoZRmQlbA=",NA,"OK","leaf","2022-08-03T16:30Z","0000-0002-3442-2725",0.336,"2022-08-03T16:35Z","2022-08-15T18:25Z",0.124,"0000-0003-4885-7081",74,844,100,147.3,0.37,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"841aff65-78e2-49f1-8abe-84b8b52d0a46","BART_005.basePlot.cfc","D01","BART","distributed","TvxMHd37kojo0h6i4mrcxk/iCCzwCvxGtgtzYpFzdx4=","A00000153889","2022-08-02T12:04Z","TvxMHd37kojo0h6i4mrcxk/iCCzwCvxGnXxfcT1/vaxixccoAG78TQ==",NA,"OK","leaf","2022-08-03T13:41Z","0000-0002-3442-2725",4.412,"2022-08-03T13:48Z","2022-08-15T19:10Z",2.067,"0000-0003-4885-7081",8,23297,99,88.7,0.468,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
"4961871e-a60a-4b71-a7f9-c3c0531daf1b","BART_016.basePlot.cfc","D01","BART","distributed","TvxMHd37kojxzMqBBgh8NyFS/toC9oekb10hSSHLOJk=","A00000153867","2022-08-02T12:51Z","TvxMHd37kojxzMqBBgh8NyFS/toC9oekYJ3uYqHz5Fk=",NA,"OK","leaf","2022-08-03T18:50Z","0000-0002-3442-2725",3.486,"2022-08-03T18:53Z","2022-08-15T19:10Z",1.709,"0000-0003-4885-7081",9,18149,99,94.2,0.49,"0000-0003-1933-3182",NA,NA,"20241211T172507Z","RELEASE-2025"
