"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","sampleCode","collectDate","ovenStartDate","ovenEndDate","sampleCondition","cnSampleID","cnSampleCode","ligninSampleID","ligninSampleBarcode","archiveSampleID","archiveSampleCode","archiveMass","toxicodendronPossible","processedBy","remarks","dataQF","publicationDate","release"
"8b950c03-1190-4134-abf6-fe2509714928","SCBI_021.basePlot.cfc","D02","SCBI","SCBI_021","distributed","HvxvVDlCk197/huPlO1cMDWY1a2IsxYUiXt7hcU3rQc=","A00000168656","2022-05-16T13:58Z","2022-05-16T20:30Z","2022-06-02T20:00Z","OK","HvxvVDlCk197/huPlO1cMDWY1a2IsxYUNeI1jiLSqJY=","B00000138225","HvxvVDlCk197/huPlO1cMDWY1a2IsxYU1zxsB8/WwaLPNbjz9QXWyg==","B00000138231","HvxvVDlCk197/huPlO1cMDWY1a2IsxYUaimBPo0WYt8=","B00000138223",4.31,NA,"0000-0002-1556-9123",NA,NA,"20241211T172541Z","RELEASE-2025"
"1c81e887-d4ff-493c-bfbb-0bc1fb4d1c15","SCBI_021.basePlot.cfc","D02","SCBI","SCBI_021","distributed","HvxvVDlCk19M2tdxCE0fXrFTGHH7hRuDcULpnFCsz4Q=","A00000168647","2022-05-16T14:32Z","2022-05-16T21:30Z","2022-06-02T20:00Z","OK","HvxvVDlCk19M2tdxCE0fXrFTGHH7hRuD5PepOoKkpEE=","B00000138240","HvxvVDlCk19M2tdxCE0fXrFTGHH7hRuDzUQGIdgLfMg=","B00000138241","HvxvVDlCk19M2tdxCE0fXrFTGHH7hRuDgxb+ndHpyLs=","B00000138239",0.69,NA,"0000-0002-1556-9123",NA,NA,"20241211T172541Z","RELEASE-2025"
"55bddcfd-3de8-45c2-a6b2-95a81ff9a231","SCBI_016.basePlot.cfc","D02","SCBI","SCBI_016","distributed","HvxvVDlCk18UXbCpwxdgB0z/LeyHtt4LsAH7YJ8TEbg=","A00000168648","2022-05-17T12:24Z","2022-05-17T15:15Z","2022-06-02T20:00Z","OK","HvxvVDlCk18UXbCpwxdgB0z/LeyHtt4LCtYmNPMvwcw=","B00000138116","HvxvVDlCk18UXbCpwxdgB0z/LeyHtt4LepkmKZ05A+A=","B00000138115","HvxvVDlCk18UXbCpwxdgB0z/LeyHtt4L74QItPmGNsI=","B00000138117",7.59,NA,"0000-0002-1556-9123",NA,NA,"20241211T172541Z","RELEASE-2025"
"f95efac3-2fff-42b7-a83e-a313e1edfa8f","SCBI_016.basePlot.cfc","D02","SCBI","SCBI_016","distributed","HvxvVDlCk1++9boZqlFMa+uB311PEiue0MlKmLUwiuY=","A00000168637","2022-05-17T13:24Z","2022-05-17T15:35Z","2022-06-02T20:00Z","OK","HvxvVDlCk1++9boZqlFMa+uB311PEiuevNXZ+Da64fo=","B00000138129","HvxvVDlCk1++9boZqlFMa+uB311PEiuer6NH79oPPOU=","B00000138119","HvxvVDlCk1++9boZqlFMa+uB311PEiuez8u4og6gFfI=","B00000138139",4.95,NA,"0000-0002-1556-9123",NA,NA,"20241211T172541Z","RELEASE-2025"
"508e6c49-d240-41e6-a702-ee39f3edc899","SCBI_016.basePlot.cfc","D02","SCBI","SCBI_016","distributed","HvxvVDlCk1/QC9PdvXnPseiksV0D8wB6m/v+x7j21us=","A00000168639","2022-05-17T13:29Z","2022-05-17T16:10Z","2022-06-02T20:00Z","OK","HvxvVDlCk1/QC9PdvXnPseiksV0D8wB6Bgsh7y1w7ws=","B00000138243","HvxvVDlCk1/QC9PdvXnPseiksV0D8wB6K1CCtBJVKTCPC1DGznwpeQ==","B00000138242","HvxvVDlCk1/QC9PdvXnPseiksV0D8wB6F3p0OavCYBY=","B00000138244",1.33,NA,"0000-0002-1556-9123",NA,NA,"20241211T172541Z","RELEASE-2025"
"dcfa46ad-41f9-48ef-97c0-1ffb6a5c776d","SCBI_016.basePlot.cfc","D02","SCBI","SCBI_016","distributed","HvxvVDlCk1+Sue0zwn7n6uNbJNFdQ+aDDiBct6vD7HY=","A00000168640","2022-05-17T13:45Z","2022-05-19T13:28Z","2022-06-02T20:00Z","OK","HvxvVDlCk1+Sue0zwn7n6uNbJNFdQ+aD/tVoiwFKs+0=","B00000138207","HvxvVDlCk1+Sue0zwn7n6uNbJNFdQ+aDLsWQq/jqSxntAX3LsQQf7Q==","B00000138188","HvxvVDlCk1+Sue0zwn7n6uNbJNFdQ+aDqVcM2I4gYLI=","B00000138208",5.17,NA,"0000-0002-1556-9123",NA,NA,"20241211T172541Z","RELEASE-2025"
"bcd3cb78-2301-42a4-8a78-5ada20c4c8e7","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+PJvxtOAh+kigUp20ZCeZaNf6zlqRdpQM=","A00000168652","2022-05-17T18:54Z","2022-05-19T12:00Z","2022-06-02T20:00Z","OK","HvxvVDlCk1+PJvxtOAh+kigUp20ZCeZamYAwnQDIB5s=","B00000138133","HvxvVDlCk1+PJvxtOAh+kigUp20ZCeZaj46+esOvSVA=","B00000138123","HvxvVDlCk1+PJvxtOAh+kigUp20ZCeZaWV5K6FsdqT8=","B00000138124",6.67,NA,"0000-0002-6053-9222",NA,NA,"20241211T172541Z","RELEASE-2025"
"b1f5cf83-c3c7-4742-b634-a88d3b02830a","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+QOKu04rTl9G4h5i8Fhd0rE7caFJpXYuA=","A00000168650","2022-05-17T19:20Z","2022-05-18T20:15Z","2022-06-02T20:00Z","OK","HvxvVDlCk1+QOKu04rTl9G4h5i8Fhd0r3yDA+DVu1Tw=","B00000138194","HvxvVDlCk1+QOKu04rTl9G4h5i8Fhd0rCn8f+t6LZto=","B00000138184","HvxvVDlCk1+QOKu04rTl9G4h5i8Fhd0rXU3kakRKuR8=","B00000138174",3.07,NA,"0000-0002-6053-9222",NA,NA,"20241211T172541Z","RELEASE-2025"
"6fc12fd6-42a9-4868-9a65-70a96707ced7","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/s0alBC4ORxlg5QqEdPINDSi5Eif1YhtE=","A00000168659","2022-05-17T20:26Z","2022-05-19T13:00Z","2022-06-02T20:00Z","OK","HvxvVDlCk1/s0alBC4ORxlg5QqEdPINDmrJErMfMbpU=","B00000138151","HvxvVDlCk1/s0alBC4ORxlg5QqEdPINDcHNBVU6QLeL1I3aBib5glw==","B00000138149","HvxvVDlCk1/s0alBC4ORxlg5QqEdPINDyDRvo8d/WgY=","B00000138150",3.52,NA,"0000-0002-6053-9222",NA,NA,"20241211T172541Z","RELEASE-2025"
"355a72a8-2155-4b11-8be1-ed6250390948","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/Ol10IGwAkvhydsygpMwdV+fvs30ej8Nw=","A00000168653","2022-05-17T20:47Z","2022-05-19T14:40Z","2022-06-02T20:00Z","OK","HvxvVDlCk1/Ol10IGwAkvhydsygpMwdV0TtGBmYPvuQ=","B00000138216","HvxvVDlCk1/Ol10IGwAkvhydsygpMwdVopzDxDIPejYM6yvxbLXTrw==","B00000138214","HvxvVDlCk1/Ol10IGwAkvhydsygpMwdVMcH9Ac0dPw4=","B00000138218",2.86,NA,"0000-0002-6053-9222",NA,NA,"20241211T172541Z","RELEASE-2025"
