"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","sampleCode","chlorophyllSampleID","chlorophyllSampleCode","collectDate","sampleCondition","extractionStartDate","extractionLength","freshMass","solventVolume","analyticalRepNumber","extractChlAConc","extractChlBConc","extractCarotConc","handlingQF","measurementQF","relativeAccuracyScale","absorbanceStandardQF","chlQAMaterialQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"e2396671-fa21-461a-9dee-fd6453181430","BART_073.basePlot.cfc","D01","BART","BART_073","tower","TvxMHd37kohoXlzs3pTixPYNVXnKYnbE9ZOkei19Lqg=","A00000153779","TvxMHd37kohoXlzs3pTixPYNVXnKYnbEPEMAhckTaIQ=","B00000068683","2022-08-01T17:58Z","OK",2022-08-10,48,0.1927,20,1,4.26,1.01,1.33,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"817ae993-4b84-435b-be36-cba55ec0b0ef","BART_073.basePlot.cfc","D01","BART","BART_073","tower","TvxMHd37koiA1rU/BY6C6tOeCUC89v9gRcjGRsjfJAA=","A00000153865","TvxMHd37koiA1rU/BY6C6tOeCUC89v9gqYxOM2ZplRM=","B00000068684","2022-08-01T18:11Z","OK",2022-08-10,48,0.0876,20,1,5.39,1.26,2.02,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"69f7f496-0fe9-488d-9eca-2fca8ebbdf26","BART_073.basePlot.cfc","D01","BART","BART_073","tower","TvxMHd37kojEfZj+QPE+LrSWb1jIkOqz2Ctl1NfhUZQ=","A00000153861","TvxMHd37kojEfZj+QPE+LrSWb1jIkOqz4EorOc1S4Ggu/9z+RRzGog==","B00000068688","2022-08-01T18:54Z","OK",2022-08-10,48,0.0912,20,1,6.2,1.41,1.72,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"b65b86fb-3c30-4d45-ab86-13890a6b9cc0","BART_073.basePlot.cfc","D01","BART","BART_073","tower","TvxMHd37koiT/Vp6cNz8F50ZrSpWWA/RXbe+F9+dr/k=","A00000153855","TvxMHd37koiT/Vp6cNz8F50ZrSpWWA/RgOWELOYA9sU=","B00000068685","2022-08-01T19:09Z","OK",2022-08-15,48,0.3777,20,1,4.01,0.7,4.92,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"a8faa645-61f5-42c1-8b5b-e2e904224016","BART_040.basePlot.cfc","D01","BART","BART_040","tower","TvxMHd37kojNrJLvmD6OM5VkX28fH0HT+nHsAFjBRtg=","A00000153777","TvxMHd37kojNrJLvmD6OM5VkX28fH0HTQvq0xWIwQrCrVp0M47ZxGw==","B00000068682","2022-08-01T20:23Z","OK",2022-08-10,48,0.0939,20,1,5.36,1.39,1.89,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"a45c236b-4863-4239-a444-a59e686c628c","BART_040.basePlot.cfc","D01","BART","BART_040","tower","TvxMHd37kohWcR6E0CTKpFQ/Ex9vYUCcBYR2GtP6C1w=","A00000153854","TvxMHd37kohWcR6E0CTKpFQ/Ex9vYUCctOk0jG/U+jw=","B00000068691","2022-08-01T20:33Z","OK",2022-08-10,48,0.0914,20,1,5.07,1.1,1.79,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"4c125262-fb3d-4608-afed-db484477036a","BART_040.basePlot.cfc","D01","BART","BART_040","tower","TvxMHd37kohmecpDYlPlnYp1yljwy2cESON+2vrAERQ=","A00000153859","TvxMHd37kohmecpDYlPlnYp1yljwy2cEamO5uG/irFg=","B00000068687","2022-08-01T21:01Z","OK",2022-08-10,48,0.0881,20,1,6.92,1.82,2.23,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"59f10c33-ea6e-485e-88ba-0ffdc6213388","BART_005.basePlot.cfc","D01","BART","BART_005","distributed","TvxMHd37kohJQv/pV8Khzs79qz+TcX9kP8QmFncEL54=","A00000153857","TvxMHd37kohJQv/pV8Khzs79qz+TcX9kGKvwQIq5kvU=","B00000068686","2022-08-02T11:42Z","OK",2022-08-10,48,0.1886,20,1,3.76,0.51,1.45,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"4a26ce59-26f3-4762-ba2b-cec75f9b74db","BART_005.basePlot.cfc","D01","BART","BART_005","distributed","TvxMHd37kojo0h6i4mrcxk/iCCzwCvxGtgtzYpFzdx4=","A00000153889","TvxMHd37kojo0h6i4mrcxk/iCCzwCvxGXB8banELay5dp8gayszqzw==","B00000068722","2022-08-02T12:04Z","OK",2022-08-10,48,0.0804,20,1,9.27,1.95,2.28,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
"0c1f30c5-b31e-4a55-9055-bdf927bca05e","BART_016.basePlot.cfc","D01","BART","BART_016","distributed","TvxMHd37kojxzMqBBgh8NyFS/toC9oekb10hSSHLOJk=","A00000153867","TvxMHd37kojxzMqBBgh8NyFS/toC9oekarTkNCRjTQ8=","B00000068692","2022-08-02T12:51Z","OK",2022-08-10,48,0.0938,20,1,9.94,2.17,3.3,"sample held at -20 C instead of ultracold","OK","not available",NA,NA,NA,"EcoAnalysts Inc.","NEON_ChlandCarotenoids_Methanol","oCvRMtztjik=","oCvRMtztjik=",NA,"20241211T172507Z","RELEASE-2025"
