"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","sampleCode","ligninSampleID","ligninSampleBarcode","collectDate","analysisDate","analyticalRepNumber","dryMass","digestVolume","foliarPhosphorusConc","foliarPotassiumConc","foliarCalciumConc","foliarMagnesiumConc","foliarSulfurConc","foliarManganeseConc","foliarIronConc","foliarCopperConc","foliarBoronConc","foliarZincConc","foliarPhosphorusQF","foliarPotassiumQF","foliarCalciumQF","foliarMagnesiumQF","foliarSulfurQF","foliarManganeseQF","foliarIronQF","foliarCopperQF","foliarBoronQF","foliarZincQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF","publicationDate","release"
"2de1c4b1-a442-4b21-a646-af2ceddc695b","SCBI_021.basePlot.cfc","D02","SCBI","SCBI_021","distributed","HvxvVDlCk197/huPlO1cMDWY1a2IsxYUiXt7hcU3rQc=","A00000168656","HvxvVDlCk197/huPlO1cMDWY1a2IsxYU1zxsB8/WwaLPNbjz9QXWyg==","B00000138231","2022-05-16T13:58Z",2022-10-19,1,0.196,25,0.238,0.914,0.823,0.377,0.142,186.5,70,4.1,9.2,11.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"50412aae-4752-4b87-96e9-fe36030f89dd","SCBI_021.basePlot.cfc","D02","SCBI","SCBI_021","distributed","HvxvVDlCk19M2tdxCE0fXrFTGHH7hRuDcULpnFCsz4Q=","A00000168647","HvxvVDlCk19M2tdxCE0fXrFTGHH7hRuDzUQGIdgLfMg=","B00000138241","2022-05-16T14:32Z",2022-10-19,1,0.196,25,0.633,1.637,0.946,0.301,0.361,97.1,55.9,6.4,24.5,37.7,"sample value outlier - reanalysis not possible","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"1eba3df4-4526-41df-a1a2-ecaaa3406d9a","SCBI_016.basePlot.cfc","D02","SCBI","SCBI_016","distributed","HvxvVDlCk18UXbCpwxdgB0z/LeyHtt4LsAH7YJ8TEbg=","A00000168648","HvxvVDlCk18UXbCpwxdgB0z/LeyHtt4LepkmKZ05A+A=","B00000138115","2022-05-17T12:24Z",2022-10-19,1,0.196,25,0.222,1.063,0.427,0.155,0.186,314.3,41,8,30.8,28.8,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"ba78e4af-9bbc-464c-9a98-536e35fa3661","SCBI_016.basePlot.cfc","D02","SCBI","SCBI_016","distributed","HvxvVDlCk1++9boZqlFMa+uB311PEiue0MlKmLUwiuY=","A00000168637","HvxvVDlCk1++9boZqlFMa+uB311PEiuer6NH79oPPOU=","B00000138119","2022-05-17T13:24Z",2022-10-19,1,0.192,25,0.21,1.142,0.44,0.188,0.168,125.6,39.7,15,13.2,19.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"4e3a4bc8-48d4-4bd4-bdc8-0cf65c29557a","SCBI_016.basePlot.cfc","D02","SCBI","SCBI_016","distributed","HvxvVDlCk1/QC9PdvXnPseiksV0D8wB6m/v+x7j21us=","A00000168639","HvxvVDlCk1/QC9PdvXnPseiksV0D8wB6K1CCtBJVKTCPC1DGznwpeQ==","B00000138242","2022-05-17T13:29Z",2022-10-19,1,0.199,25,0.525,1.578,0.192,0.146,0.319,84.4,74.7,26.2,19.6,52.7,"sample value outlier - reanalysis not possible","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"d6bbdbb6-3249-4bd6-b24b-c9a084f48595","SCBI_016.basePlot.cfc","D02","SCBI","SCBI_016","distributed","HvxvVDlCk1+Sue0zwn7n6uNbJNFdQ+aDDiBct6vD7HY=","A00000168640","HvxvVDlCk1+Sue0zwn7n6uNbJNFdQ+aDLsWQq/jqSxntAX3LsQQf7Q==","B00000138188","2022-05-17T13:45Z",2022-10-19,1,0.198,25,0.114,0.303,0.448,0.133,0.149,944.6,29.1,2.9,44,65.4,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"695408b6-8182-4cee-b252-2e853df87d83","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+PJvxtOAh+kigUp20ZCeZaNf6zlqRdpQM=","A00000168652","HvxvVDlCk1+PJvxtOAh+kigUp20ZCeZaj46+esOvSVA=","B00000138123","2022-05-17T18:54Z",2022-10-19,1,0.202,25,0.208,1.008,0.98,0.306,0.187,153.3,42.8,13.1,17.6,18.7,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"c6b67c0e-8f6e-4e00-b82f-1d3025902c52","SCBI_005.basePlot.cfc","D02","SCBI","SCBI_005","distributed","HvxvVDlCk1+QOKu04rTl9G4h5i8Fhd0rE7caFJpXYuA=","A00000168650","HvxvVDlCk1+QOKu04rTl9G4h5i8Fhd0rCn8f+t6LZto=","B00000138184","2022-05-17T19:20Z",2022-10-19,1,0.199,25,0.182,0.749,0.594,0.209,0.204,69.1,47.4,6.2,31.4,12,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"43111f4a-83a1-4998-a3f9-0c109621d520","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/s0alBC4ORxlg5QqEdPINDSi5Eif1YhtE=","A00000168659","HvxvVDlCk1/s0alBC4ORxlg5QqEdPINDcHNBVU6QLeL1I3aBib5glw==","B00000138149","2022-05-17T20:26Z",2022-10-19,1,0.204,25,0.253,1.072,0.811,0.317,0.17,503.9,23.5,12.6,24.9,48.1,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
"638060aa-6a49-4c01-8efa-0c17ebdbc605","SCBI_004.basePlot.cfc","D02","SCBI","SCBI_004","distributed","HvxvVDlCk1/Ol10IGwAkvhydsygpMwdV+fvs30ej8Nw=","A00000168653","HvxvVDlCk1/Ol10IGwAkvhydsygpMwdVopzDxDIPejYM6yvxbLXTrw==","B00000138214","2022-05-17T20:47Z",2022-10-19,1,0.199,25,0.336,1.554,0.486,0.189,0.223,35.1,91.3,22.2,18.5,22.9,"OK","OK","OK","OK","OK","OK","OK","OK","OK","OK",NA,"A and L Great Lakes","SOP APF-10-020","J/g6an6qIb0=","j+NchQmCR3uWeXRzNkSPNw==",NA,"20241211T172541Z","RELEASE-2025"
