"uid","locationID","domainID","siteID","plotID","plotType","sampleType","nlcdClass","geodeticDatum","decimalLatitude","decimalLongitude","coordinateUncertainty","elevation","elevationUncertainty","altLatitude","altLongitude","altCoordinateUncertainty","collectDate","eventID","cfcIndividual","taxonID","scientificName","sampleID","sampleCode","individualID","plantStatus","leafStatus","leafAge","leafExposure","leafSamplePosition","targetType","targetStatus","measurementVenue","measurementDate","leafArrangement","spectralSampleID","spectralSampleCode","remarks","collectedBy","recordedBy","dataQF","publicationDate","release","dpID","dpName","tableName","year","duplicateRecordQF","in_cfc","cfcMatchStatus"
"af5293fa-195e-4d19-8b71-842721815eb4","GUAN_043.basePlot.cfc","D04","GUAN","GUAN_043","tower","Individual","evergreenForest","WGS84",17.9689,-66.8677,20.1,113.5,0.1,17.969,-66.8689,NA,"2022-10-17T18:50Z","fsp.GUAN.2022_Leaf","N","STEM3","Stigmaphyllon emarginatum (Cav.) A. Juss.","cvq/qyn8eF+eg38f0AadypVe/1bGx8EYHgDP3v2ToSs=",NA,NA,"OK","healthy","mature","sunlit","top","pure foliage","fresh","outdoor","2022-10-17T14:53Z","single leaf","FSP_GUAN_20221017_1453",NA,"Vine attached to sample 65 from plot 43","0000-0002-1538-9085","0000-0002-6338-5791",NA,"20241118T013955Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"7633cd8e-984a-4974-8bcf-145224340514","GUAN","D04","GUAN",NA,NA,"Individual",NA,"WGS84",17.9696,-66.8687,NA,125.3,NA,17.9727,-66.8527,5,"2022-10-18T13:59Z","fsp.GUAN.2022_Leaf","N","CAHA9","Capparis hastata Jacq.","cvq/qyn8eF/XhBfsYpib4HsxvtAoZXG7I5XSc7UJgl4=",NA,NA,"Insect damaged","damaged","mature","shaded","bottom","pure foliage","fresh","outdoor","2022-10-18T10:01Z","single leaf","FSP_GUAN_20221018_1001",NA,"Near plot 1. Caterpillar and aphid damage","0000-0002-1538-9085","0000-0002-6338-5791",NA,"20241118T013955Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"b0761531-e9b5-4179-a343-8e96e438dd40","GUAN","D04","GUAN",NA,NA,"Individual",NA,"WGS84",17.9696,-66.8687,NA,125.3,NA,17.9693,-66.8689,5,"2022-10-18T14:16Z","fsp.GUAN.2022_Leaf","N","DERE","Delonix regia (Bojer ex Hook.) Raf.","cvq/qyn8eF+t6ppiGnGsZxAHyEgKhFfzQuTsmQwY/Fg=",NA,NA,"OK","healthy","mature","shaded","middle","foliage plus stem","fresh","outdoor","2022-10-18T10:16Z","single leaf","FSP_GUAN_20221018_1016",NA,"Collected off roadside near plot 001 - need to update location","0000-0002-1538-9085","0000-0002-6338-5791",NA,"20241118T013955Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"4be581eb-b8e9-43bb-899b-3daa5324c9a9","GUAN","D04","GUAN",NA,NA,"Individual",NA,"WGS84",17.9696,-66.8687,NA,125.3,NA,17.9726,-66.8527,5,"2022-10-18T14:32Z","fsp.GUAN.2022_Leaf","N","URMA3","Urochloa maxima (Jacq.) R. Webster","cvq/qyn8eF8VWmaXZAI1TSS1BhLplJiFdvXljcxBga0=",NA,NA,"OK","healthy","mature","shaded","bottom","pure foliage","fresh","outdoor","2022-10-18T10:34Z","single leaf","FSP_GUAN_20221018_1034",NA,"Off of road by Plot 001","0000-0002-1538-9085","0000-0002-6338-5791",NA,"20241118T013955Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"314b5448-05dc-406d-8480-d871781d6842","GUAN","D04","GUAN",NA,NA,"Individual",NA,"WGS84",17.9696,-66.8687,NA,125.3,NA,17.9717,-66.8706,10,"2022-10-18T15:07Z","fsp.GUAN.2022_Leaf","N","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.","cvq/qyn8eF8we6HAC/Yl0jirp+zmABA/SIANTR3/wRs=",NA,NA,"OK","healthy","mature","shaded","middle","pure foliage","fresh","outdoor","2022-10-18T11:07Z","single leaf","FSP_GUAN_20221018_1107",NA,"Off roadside near plot 001 - need to update coordinates since made record at another spot","0000-0002-1538-9085","0000-0002-6338-5791",NA,"20241118T013955Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"adc1e94b-06f6-4eff-8816-0ddb2c68b05d","GUAN","D04","GUAN",NA,NA,"Individual",NA,"WGS84",17.9696,-66.8687,NA,125.3,NA,17.9726,-66.8527,10,"2022-10-18T16:29Z","fsp.GUAN.2022_Leaf","N","MAUN3","Macfadyena unguis-cati (L.) A.H. Gentry","cvq/qyn8eF8kvg8VEQ1xHmIRO3Whv8SLoVwPmZOI7iI=",NA,NA,"OK","healthy","mature","shaded","middle","pure foliage","fresh","outdoor","2022-10-18T12:29Z","single leaf","FSP_GUAN_20221018_1229",NA,"Vine on tree off roadside near plot 001","0000-0002-1538-9085","0000-0002-6338-5791",NA,"20241118T013955Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"898ec1ba-e9fe-4f95-9c78-6dbc4297091c","STER","D10","STER",NA,NA,"Individual",NA,"WGS84",40.4619,-103.0293,NA,1364.6,NA,40.4619,-103.0293,NA,"2022-07-20T08:06Z","fsp.STER.2022_Leaf","N","TRTE","Tribulus terrestris L.","veYUjP6Zd8b27ohTCNmcHkYxsO9qOqxGODT3CWIITCw=",NA,NA,"OK","healthy","mature","sunlit","top","foliage plus stem","fresh","outdoor","2022-07-20T08:06Z","multiple overlapping leaves","FSP_STER_20220720_0806","FSP_STER_20220720_0806",NA,"0000-0002-1538-9085","0000-0002-6338-5791",NA,"20250107T232738Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"f15bf7f9-b77d-40de-a5d5-5eae6eef6a1f","STER","D10","STER",NA,NA,"Individual",NA,"WGS84",40.4619,-103.0293,NA,1364.6,NA,40.4619,-103.0293,NA,"2022-07-20T08:14Z","fsp.STER.2022_Leaf","N","SEIT","Setaria italica (L.) P. Beauv.","veYUjP6Zd8bnSpAk4mH4mzWJTYS2bKTsuJ//VjDA7gI=",NA,NA,"OK","healthy","mature","sunlit","top","pure foliage","fresh","outdoor","2022-07-20T08:14Z","horizontal needle mat","FSP_STER_20220720_0814","FSP_STER_20220720_0814",NA,"0000-0002-1538-9085","0000-0002-6338-5791",NA,"20250107T232738Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"8588fc11-7f86-4630-8cf1-a156cb12b76d","STER","D10","STER",NA,NA,"Individual",NA,"WGS84",40.4619,-103.0293,NA,1364.6,NA,40.4619,-103.0293,NA,"2022-07-20T08:22Z","fsp.STER.2022_Leaf","N","SOBI2","Sorghum bicolor (L.) Moench","veYUjP6Zd8aqS4H5bC2ix7G9PLHL2UYkq3FalKOuLiY=",NA,NA,"OK","diseased","mature","sunlit","top","pure foliage","fresh","outdoor","2022-07-20T08:22Z","single leaf","FSP_STER_20220720_0822","FSP_STER_20220720_0822","Unhealthy and bright green","0000-0002-1538-9085","0000-0002-6338-5791",NA,"20250107T232738Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
"8973ca99-a686-4f54-9ac4-e3cb3aaec064","STER_016.basePlot.cfc","D10","STER","STER_016","tower","Individual","cultivatedCrops","WGS84",40.4639,-103.0308,20.1,1360.6,0.1,40.4619,-103.0293,NA,"2022-07-20T08:30Z","fsp.STER.2022_Leaf","N","PACA6","Panicum capillare L.","veYUjP6Zd8Zbh6S3DoGQ76ZdEGqW6s7Eqi5WmZFd/IU=",NA,NA,"OK","healthy","mature","sunlit","top","pure foliage","fresh","outdoor","2022-07-20T08:30Z","horizontal needle mat","FSP_STER_20220720_0830","FSP_STER_20220720_0830",NA,"0000-0002-1538-9085","0000-0002-6338-5791",NA,"20250107T232738Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_sampleMetadata_pub","2022",0,NA,"Not found in CFC"
